Ticker,Annualized_Std,Variance,Total Expected Return (%)
SPY,0.14908115401505168,0.022225190482459557,0.12138866213352285
VTI,0.15567064454575888,0.02423334957329201,0.11044672486949862
IVV,0.15276688470332234,0.02333772106195818,0.09685206069943905
QQQ,0.23704853350303517,0.05619200723593959,0.12598990325197376
VXUS,0.15429623327565722,0.023807327603056032,0.08749860568646295
IJH,0.17996654123574846,0.032387955964358346,0.1197447310063608
IJR,0.19553044040597153,0.038232153125353184,0.12272774224434237
VEA,0.1831220418049823,0.03353368219482568,0.08389564419220863
VWO,0.2093277848960492,0.043818121529486644,0.11802801481960283
DIA,0.15216161483410656,0.023153157028922997,0.11115880127262455
